id_venda;data;filial;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
0;2023-01-20 08:00:56.384224;Canoas;Luis Fernando;Tenis Nike;Sabrina Rieke;feminino;credito
1;2023-01-20 08:50:58.755843;Florianópolis;Mario Sérgio;Tenis Adidas;Patsy Lovell;feminino;credito
2;2023-01-20 11:44:56.776745;Canoas;Carlos Henrique;Tenis Adidas;John Crandall;masculino;credito
3;2023-01-20 12:07:58.025749;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Mildred Mcleod;feminino;credito
4;2023-01-20 12:49:56.606703;São Paulo;Cassia Moraes;Tenis NB;Robert Mccormick;masculino;credito
5;2023-01-20 14:01:58.316971;Caxias do Sul;Mateus Kienzle;Tenis NB;Richard Kaeo;masculino;pix
6;2023-01-20 14:37:56.577837;Lajeado;Juliano Faccioni;Tenis Fila;Carl Aurand;masculino;boleto
7;2023-01-20 15:16:57.086366;São Paulo;Claudio Bueno;Tenis NB;Rita Hess;feminino;credito
8;2023-01-21 08:38:58.394180;São Paulo;Claudio Bueno;Tenis Fila;Lenny Harpster;masculino;credito
9;2023-01-21 10:53:58.316645;Canoas;Luis Fernando;Tenis Fila;Herman Lee;masculino;credito
10;2023-01-21 12:14:58.890031;São Paulo;Cassia Moraes;Tenis NB;Christopher Comer;masculino;credito
11;2023-01-21 13:02:57.188188;Porto Alegre;Rodrigo Tadewald;Tenis Fila;Ola Herring;feminino;pix
12;2023-01-21 14:09:56.755201;Porto Alegre;Luiza Cherobini;Tenis Fila;Lucille Griffin;feminino;credito
13;2023-01-21 16:54:57.661634;Canoas;Carlos Henrique;Tenis Adidas;Martin Young;masculino;credito
14;2023-01-21 17:48:59.416729;Florianópolis;Mario Sérgio;Tenis Fila;Helen Manning;feminino;credito
15;2023-01-22 08:53:59.033744;São Paulo;Claudio Bueno;Tenis Fila;Edith Francis;feminino;credito
16;2023-01-22 11:12:58.952587;Porto Alegre;Rodrigo Tadewald;Tenis NB;Tammy May;feminino;boleto
17;2023-01-22 12:36:58.294721;São Paulo;Claudio Bueno;Tenis Fila;Willie Garner;masculino;pix
18;2023-01-22 12:52:57.406909;Florianópolis;Claudia dos Santos;Tenis NB;Delora Ingham;feminino;pix
19;2023-01-22 14:11:56.204132;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Thomas Glisson;masculino;credito
20;2023-01-22 14:15:57.140613;Lajeado;Adriano Soares;Tenis Adidas;Emmitt King;masculino;pix
21;2023-01-22 15:37:58.458417;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Douglas Rich;masculino;credito
22;2023-01-22 17:53:57.100111;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Barbara Hayman;feminino;credito
23;2023-01-22 18:36:58.298975;Porto Alegre;Rodrigo Tadewald;Tenis Adidas;Evelyn Gloden;feminino;pix
24;2023-01-23 10:49:59.484379;São Paulo;Cassia Moraes;Tenis Nike;Victoria Bryant;feminino;credito
25;2023-01-23 11:01:56.129412;Porto Alegre;Luiza Cherobini;Tenis Nike;Ronald Lewis;masculino;credito
26;2023-01-23 15:14:56.356882;Canoas;Carlos Henrique;Tenis Fila;Peter Thomas;masculino;credito
27;2023-01-23 15:26:56.893036;Porto Alegre;Luiza Cherobini;Tenis Fila;James Beeson;masculino;credito
28;2023-01-23 16:35:57.541392;Porto Alegre;Luiza Cherobini;Tenis Fila;Ann Duncan;feminino;credito
29;2023-01-24 08:22:59.058862;Caxias do Sul;Mateus Kienzle;Tenis Fila;Ruth Saville;feminino;credito
